character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
葷,"non-vegetarian food (meat, fish etc)",,,,hun1,,,^⿱艹軍$(GHTJKP),"艹 = flower, 軍 = army",TW,TW::A
萵,lettuce,,,,wo1,,,^⿱艹咼$(GHTJKP),"艹 = flower, 咼 = lopsided (2)",TW,TW::A
蓆,woven mat (variant of 席[xi2]),,,,xi2,,,^⿱艹席$(GHTJKP),"艹 = flower, 席 = mat / seat",TW,TW::A
蒞,to attend (an official function),,,,li4,,,^⿱艹涖$(GHTJKP),艹 = flower,TW,TW::A
蓀,aromatic grass,,,,sun1,,,^⿱艹孫$(GHTJKP),"艹 = flower, 孫 = grandchild",TW,TW::A
蔔,used in 蘿蔔|萝卜[luo2 bo5],,,,bo2,,,^⿱艹匐$(GHTJKP),"艹 = flower, 匐 = fall prostrate",TW,TW::A
薔,used in 薔薇|蔷薇[qiang2 wei1] (2),,,,qiang2,,,^⿱艹嗇$(GHTJKP),"艹 = flower, 嗇 = stingy (4)",TW,TW::A
藪,gathering place,,,,sou3,,,^⿱艹數$(GHTJKPV),"艹 = flower, 數 = number",TW,TW::A
藹,lush,,,,ai3,,,^⿱艹謁$(GHTJKP),"艹 = flower, 謁 = audience",TW,TW::A
藺,juncus effusus,,,,Lin4,,,^⿱艹閵$(GHTJKP),"艹 = flower, 閵 = gate-turkey",TW,TW::A
蘗,old variant of 檗[bo4],,,,bo4,,,^⿱艹檗$(GHTJKP),"艹 = flower, 檗 = a cork tree",TW,TW::A
蘚,moss on damp walls,,,,xian3,,,^⿱艹鮮$(GHTJKP),"艹 = flower, 鮮 = fresh",TW,TW::A
蚵,"oyster (from Taiwanese, Tai-lo pr. [ô])",,,,e2,,,^⿰虫可$(GHTJKPV),"虫 = insect, 可 = can",TW,TW::A
蛻,exuvia,,,,tui4,,,^⿰虫兌$(GHTJKP),"虫 = insect, 兌 = convert",TW,TW::A
蝨,louse (2),,,,shi1,,,^⿱卂䖵$(GHP),卂 = crochet needles,TW,TW::A
螻,Gryllotalpa orientalis,,,,lou2,,,^⿰虫婁$(GHTJKPV),"虫 = insect, 婁 = surname (15)",TW,TW::A
蟈,small green frog,,,,guo1,,,^⿰虫國$(GHTJKPV),"虫 = insect, 國 = country / country [old]",TW,TW::A
蟯,human pinworm (Enterobius vermicularis),,,,nao2,,,^⿰虫堯$(GHTJKPV),"虫 = insect, 堯 = Yao",TW,TW::A
蠍,scorpion (2),,,,xie1,,,^⿰虫歇$(GHTJKP),"虫 = insect, 歇 = take a rest",TW,TW::A
