character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
㐅,sheaf,,,,wǔ: archaic variant of 五[wǔ],,,㐅,,,primitive
㐫,Fagin,,,,,top hat + cruel,⿱ (top-bottom),⿱亠凶,"亠 = top hat, 凶 = cruel",,primitive
㐬,baby Moses,,,,,infant + flood,⿱ (top-bottom),⿱亠𠫝,"囧充－儿 = infant, 川 = flood",,primitive
㐱,cocktail,,,,,umbrella + rooster tail,⿱ (top-bottom),⿱𠆢彡,"𠆢 = umbrella, 彡 = rooster tail",,primitive
㓁,paper punch,,,,,hole,⿱ (top-bottom),⿱冖儿,穴 = hole,,primitive
㔾,fingerprint,,,,jié: seal radical in Chinese characters (Kangxi radical 26),,,㔾,,,primitive
㸚,stitching,,,,,sheaf + sheaf + sheaf + Sheaf,⿱ (top-bottom),⿱⿰㐅㐅⿰㐅乂,"㐅 = sheaf, 乂 = Sheaf",,primitive
䍃,can opener,,,,"yáo: (archaic) vase, pitcher",claw + tin can,⿱ (top-bottom),⿱爫缶,"爪 = claw, 缶 = tin can",,primitive
一,one,1,1,1,"yī: one, 1, single, a (article)",,,一,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
丁,fourth / street,86,90,91,"dīng: fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl",floor + 亅,⿱ (top-bottom),⿱一亅,一 = floor,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
丂,snare,,,,"kǎo: breath or ""sigh"" component in Chinese characters",floor + ㇉,⿱ (top-bottom),⿱一㇉,一 = floor,,primitive
七,seven,7,7,7,"qī: seven, 7",floor + hook,,〾⿻一乚,"一 = floor, 乚 = hook",RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
丈,100 Chinese Inches / 100 Chinese inches / length,776,837,691,zhàng: ten feet,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,𠂇 = by one’s side,RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L23
三,three,3,3,3,"sān: three, 3",one + two,,三,"一 = one, 二 = two",RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
上,above,44,45,49,"shǎng: see 上聲|上声[shǎng shēng] | shàng: on top, upon, above, upper",magic wand + floor,⿱ (top-bottom),⿱⺊一,"卜 = magic wand, 一 = floor",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
下,below,45,46,50,"xià: down, downwards, below, lower",magic wand + ceiling,⿱ (top-bottom),⿱一卜,"卜 = magic wand, 一 = ceiling",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
不,no / negative,924,993,1217,"bù: (negative prefix), not, no",ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"一 = ceiling, 人 = person, 丶 = a drop of",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
丑,clown / sign of the cow,1489,1486,2040,"chǒu: clown, 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox, shameful, ugly",needle + key,⿻ (overlaid),⿻{42}丨,"针 = needle, 囧侯－亻－矢 = key",RSH RTH RTK,RSH1::L55 RTH1::L55 RTK1v5::L56
专,specialty,,1238,,"zhuān: for a particular person, occasion, purpose, focused on one thing, special, expert",cornstalk + chop,⿱ (top-bottom),⿱⿻一𠀁丶,"囧奉－𡗗 = cornstalk, 囧节－艹 = chop",RSH,RSH1::L39 primitive
且,moreover,1297,1345,2034,"qiě: and, moreover, yet, for the time being",glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"冂 = glass cover, 一 = floor",RSH RTH RTK,RSH1::L46 RTH1::L45 RTK1v5::L56 primitive
世,generation,27,28,28,"shì: life, age, generation, era",ten,⿻ (overlaid),⿻廿𠃊,十 = ten,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
丘,hill,1003,1079,1329,"qiū: mound, hillock, grave, classifier for fields",tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,斤 = tomahawk,RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
丙,third / third class,780,842,1020,"bǐng: third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl",ceiling + internal,⿱ (top-bottom),⿱一内,"一 = ceiling, 内 = internal",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
东,east,,1249,,"dōng: east, host (i.e. sitting on east side of guest), landlord",car + a drop of,⿻ (overlaid),⿻⿻一𠃋小,"车 = car, 丶 = a drop of",RSH,RSH1::L40 primitive
丟,mislay,1870,,,"diū: to lose, to put aside, to throw",floor + go,⿱ (top-bottom),⿱一去,"一 = floor, 去 = go",RTH,RTH2::L22
両,both,,,1168,,floor + glass cover + pit + walking stick,⿻ (overlaid),⿻𰀃山,"一 = floor, 冂 = glass cover, 凵 = pit, 丨 = walking stick",RTK,RTK1v5::L31 primitive
两,dos,,1478,,"liǎng: two, both, some, a few",person + belt,⿱ (top-bottom),⿱一⿻冂从,"人 = person, 囧冂 = belt",RSH,RSH1::L55 primitive
並,side by side / row,1302,,1785,"bìng: and, furthermore, also, together with",animal horns + floor + profession,⿱ (top-bottom),⿱䒑业,"丷 = animal horns, 一 = floor, 业 = profession",RTH RTK,RTH1::L46 RTK1v5::L47 primitive
丨,walking stick,,,,shù: see 豎筆|竖笔[shù bǐ] | gǔn: radical in Chinese characters (Kangxi radical 2),one,,丨,一 = one,,primitive
丩,cornucopia,,,,jiū: archaic variant of 糾|纠[jiū],𠄌 + walking stick,⿰ (left-right),⿰𠄌丨,丨 = walking stick,,primitive
中,middle / in,36,38,39,"Zhōng: China, Chinese, surname Zhong | zhōng: within, among, in, middle | zhòng: to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)",walking stick + mouth,⿻ (overlaid),⿻口丨,"丨 = walking stick, 口 = mouth",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
丰,plentiful,,1225,,"fēng: luxuriant, buxom, variant of 豐|丰[fēng], variant of 風|风[fēng]",three + walking stick,⿻ (overlaid),⿻三丨,"三 = three, 丨 = walking stick",RSH,RSH1::L39 primitive
串,string together / shish kebab,1504,1506,603,"chuàn: to string together, to mix up, to conspire, to rove",mouth + mouth + walking stick,⿻ (overlaid),⿻吕丨,"口 = mouth, 丨 = walking stick",RSH RTH RTK,RSH2::L03 RTH2::L03 RTK1v5::L22 primitive
丶,a drop of (also: eyedropper),,,,diǎn: see 點|点[diǎn] | zhǔ: radical in Chinese characters (Kangxi radical 3),,,丶,,,primitive
丷,horns (also: animal horns),,,,"bā: eight component in Chinese characters, archaic variant of 八[bā] | xx: one of the characters used in kwukyel, an ancient Korean writing system",one,⿰ (left-right),⿰丶㇒,一 = one,,primitive
丸,pill / round,41,42,44,wán: pill,baseball,⿻ (overlaid),⿻九丶,九 = baseball,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
丹,cinnabar red,1537,1554,2038,"dān: red, pellet, powder, cinnabar",hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"冂 = hood, 丶 = a drop of, 一 = one",RSH RTH RTK,RSH2::L09 RTH2::L09 RTK1v5::L56
主,lord,259,277,266,"zhǔ: owner, master, host, individual or party concerned",a drop of + king + jade,⿱ (top-bottom),⿱丶王,"丶 = a drop of, 王 = king, 玉 = jade",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12 primitive
乃,only then / from,582,625,686,"nǎi: to be, thus, so, therefore",𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,丿 = drop,RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23 primitive
久,long time,778,839,1016,"jiǔ: (long) time, (long) duration of time",bound up + person,,久,"勹 = bound up, 人 = person",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
乇,fur ball,,,,tuō: archaic variant of 托[tuō] | zhé: blade of grass component in Chinese characters,fur,⿱ (top-bottom),⿱㇒七,毛 = fur,,primitive
义,righteousness,,1182,,"yì: justice, righteousness, meaning",sheaf + a drop of,⿶ (surround-open-top),⿶乂丶,"㐅 = sheaf, 丶 = a drop of",RSH,RSH1::L38 primitive
之,of,921,990,1214,"zhī: (possessive particle, literary equivalent of 的), him, her, it",a drop of,⿱ (top-bottom),⿱丶{100},丶 = a drop of,RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
乍,for the first time,865,937,,"zhà: at first, suddenly, abruptly, to spread",dropdrop + floor + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"㇒ = dropdrop, 一 = floor, 丨 = walking stick, 二 = two",RSH RTH,RSH1::L30 RTH1::L30 primitive
乎,ooh!,1106,1165,,"hū: (classical particle similar to 於|于[yú]) in, at, from, because",water lily,⿻ (overlaid),⿻𠂌丷,平 = water lily,RSH RTH,RSH1::L38 RTH1::L38
乏,weary / destitution,922,991,1215,"fá: short of, tired",eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"丶 = eyedropper, 之 = sign of Zorro",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32
乒,ping,2999,2999,,"pīng: onomat. ping, bing",troops,⿱ (top-bottom),⿱丘㇒,兵 = troops,RSH RTH,RSH2::Compounds RTH2::Compounds
乓,pong,3000,3000,,pāng: onomat. bang,troops,⿱ (top-bottom),⿱丘丶,兵 = troops,RSH RTH,RSH2::Compounds RTH2::Compounds
乔,pretend,,441,,qiáo: tall,crutches + die young,⿱ (top-bottom),⿱夭⿰丿丨,"囧介－𠆢 = crutches, 夭 = die young",RSH,RSH1::L18 primitive
乖,well-behaved,1677,1705,,"guāi: (of a child) obedient, well-behaved, clever, shrewd, alert",thousand + north,⿻ (overlaid),⿻千北,"千 = thousand, 北 = north",RSH RTH,RSH2::L18 RTH2::L18 primitive
乘,hitch a ride,1678,1706,,"chéng: to ride, to mount, to make use of, to avail oneself of | shèng: four horse military chariot (archaic), four (archaic), generic term for history books",goody-goody + umbrella,⿻ (overlaid),⿻禾北,"乖 = goody-goody, 𠆢 = umbrella",RSH RTH,RSH2::L18 RTH2::L18
乙,second / fish guts,91,95,71,"yǐ: second of 10 heavenly stems 十天干, second in order, letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc, second party (in legal contract, usually 乙方[yǐ fāng], as opposed to 甲方[jiǎ fāng]) | zhé: turning stroke (in Chinese characters), see also 折[zhé]",,,乙,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L05 primitive
乛,beret,,,,zhé: variant of 乙[zhé],crown,,乛,冖 = crown,,primitive
九,nine,9,9,9,"jiǔ: nine, 9",,,九,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
乞,beg,434,470,462,qǐ: to beg,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"𠂉 = lying (down), 钩 = hook",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
也,also / est,476,505,2094,"yě: also, too, (in Classical Chinese) final particle implying affirmation",fishhook,⿻ (overlaid),⿻乜丨,乙 = fishhook,RSH RTH RTK,RSH1::L20 RTH1::L20 RTK3v2::CH01 primitive
乳,breast / milk,2362,2430,729,"rǔ: breast, milk",fledglings + fishhook,⿰ (left-right),⿰孚乚,"孚 = fledglings, 乙 = fishhook",RSH RTH RTK,RSH2::L36 RTH2::L36 RTK1v5::L23
乾,dry / drought,436,,463,"qián: one of the Eight Trigrams 八卦[bā guà], symbolizing heaven, male principle, ☰ | gān: dry, clean, in vain, dried food",mist + beg,⿰ (left-right),⿰𠦝乞,"𠦝 = mist, 乞 = beg",RTH RTK,RTH1::L18 RTK1v5::L18 primitive
亂,chaos,1500,,,"luàn: in confusion or disorder, in a confused state of mind, disorder, upheaval",dropdrop + eyedropper + eyedropper + dropdrop + beret + eyedropper + glass cover + 𠃋 + eyedropper + right hand + hook,⿰ (left-right),⿰𤔔乚,"㇒ = dropdrop, 丶 = eyedropper, 乛 = beret, 冂 = glass cover, 又 = right hand, 乚 = hook",RTH,RTH1::L55
了,(-ed) / complete,95,101,97,"le: (modal particle intensifying preceding clause), (completed action marker) | liǎo: to finish, to achieve, to understand, (of eyes) bright",child,⿱ (top-bottom),⿱乛亅,子 = child,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
予,bestow / beforehand,936,1007,1593,"yú: (archaic) I, me | yǔ: to give",spear,⿱ (top-bottom),⿱龴𠄐,矛 = spear,RSH RTH RTK,RSH1::L32 RTH1::L32 RTK1v5::L41 primitive
事,matter,878,953,1156,"shì: matter, thing, item, work",one + mouth + rake,⿻ (overlaid),⿻⿱𠮛{43}亅,"一 = one, 口 = mouth, 肀 = rake",RSH RTH RTK,RSH1::L30 RTH1::L30 RTK1v5::L31
二,two,2,2,2,"èr: two, 2, stupid (Beijing dialect)",one,⿱ (top-bottom),⿱一一,一 = one,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
于,Yu,1230,1283,,"yú: to go, to take, sentence-final interrogative particle, variant of 於|于[yú]",clothesline,⿱ (top-bottom),⿱一𬺰,干 = clothesline,RSH RTH,RSH1::L42 RTH1::L42 primitive
亏,loss,,2286,,"kuī: deficiency, deficit, luckily",snare,⿱ (top-bottom),⿱一丂,丂 = snare,RSH,RSH2::L32 primitive
云,utter / quote / cloud,395,428,2102,"yún: (classical) to say, cloud, CL:朵[duǒ] | Yún: surname Yun, abbr. for Yunnan Province 雲南省|云南省[Yún nán shěng]",two + 𠃋 + eyedropper,⿱ (top-bottom),⿱二厶,"二 = two, 丶 = eyedropper",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK3v2::CH01 primitive
互,mutual / mutually,629,681,757,hù: mutual,wall,⿱ (top-bottom),⿱一彑,囧会－亼 = wall,RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
五,five,5,5,5,"wǔ: five, 5",floor + ㇯,⿱ (top-bottom),⿱一𫝀,一 = floor,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
井,well,1312,1360,1806,"jǐng: a well, CL:口[kǒu], neat, orderly | Jǐng: Jing, one of the 28 constellations of Chinese astronomy, surname Jing",two + drop + walking stick,⿻ (overlaid),⿻二⿰丿丨,"二 = two, 丿 = drop, 丨 = walking stick",RSH RTH RTK,RSH1::L47 RTH1::L47 RTK1v5::L48
些,somewhat / whit,427,461,2046,"xiē: some, few, several, measure word indicating a small amount or small number (greater than 1)",this (literary) + two,⿱ (top-bottom),⿱此二,"此 = this (literary), 二 = two",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK3v2::CH01
亞,Asia,1313,,,"yà: Asia, Asian, second, next to",{40} + floor,⿱ (top-bottom),⿱{40}一,一 = floor,RTH,RTH1::L47
亠,top hat,,,,,six + animal legs,⿱ (top-bottom),⿱丶一,"六 = six, 囧只－口 = animal legs",,primitive
亡,deceased,457,490,485,"wáng: to die, to lose, to be gone, to flee",top hat + hook,⿱ (top-bottom),⿱亠𠃊,"亠 = top hat, 钩 = hook",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19 primitive
亢,whirlwind,,,,"Kàng: surname Kang, Kang, one of the 28 constellations | kàng: high, overbearing, excessive",top hat + wind,⿱ (top-bottom),⿱亠几,"亠 = top hat, 风 = wind",,primitive
交,mingle,969,1046,1275,"jiāo: to hand over, to deliver, to pay (money), to turn over",top hat + father,⿱ (top-bottom),⿱亠父,"亠 = top hat, 父 = father",RSH RTH RTK,RSH1::L33 RTH1::L33 RTK1v5::L34
亥,sign of the hog,1136,1196,1519,"hài: 12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar",top hat + elbow + person,⿱ (top-bottom),⿱丶𠀔,"亠 = top hat, 厶 = elbow, 人 = person",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK1v5::L39 primitive
亦,likewise,1496,1491,,yì: also,top hat + animal legs + saber,⿱ (top-bottom),⿱亠⿻⿰丿亅八,"亠 = top hat, 囧只－口 = animal legs, 剑 = saber",RSH RTH,RSH1::L55 RTH1::L55 primitive
产,products,,1314,,"chǎn: to give birth, to reproduce, to produce, product",standing up + cliff,⿳ (top-mid-bottom),⿳亠丷厂,"立 = standing up, 崖 = cliff",RSH,RSH1::L44 primitive
亨,go smoothly,1607,1638,3001,"hēng: prosperous, henry (unit of inductance)",tall + -ed,⿳ (top-mid-bottom),⿳亠口了,"高 = tall, 了 = -ed",RSH RTH RTK,RSH2::L14 RTH2::L14 RTK3v2::CH14
享,enjoy / receive,297,326,308,"xiǎng: to enjoy, to benefit, to have the use of",child + tall,⿳ (top-mid-bottom),⿳亠口子,"子 = child, 高 = tall",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
京,capital,301,330,312,"Jīng: abbr. for Beijing, surname Jing, Jing ethnic minority | jīng: capital city of a country, big, algebraic term for a large number (old), artificial mound (old)",tall + small,⿱ (top-bottom),⿱亠𱒃,"高 = tall, 小 = small",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14 primitive
亭,pavilion,299,328,311,"tíng: pavilion, booth, kiosk, erect",spike + tiara,⿱ (top-bottom),⿱{87}丁,"丁 = spike, 高 = tiara",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
亮,shiny / translucent,300,329,2920,"liàng: bright, clear, resonant, to shine",tiara + wind,⿱ (top-bottom),⿱{87}几,"高 = tiara, 风 = wind",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK3v2::CH03
亶,Mr. Hyde,,,,dǎn: sincere,top hat + return + daybreak,⿱ (top-bottom),⿱㐭旦,"亠 = top hat, 回 = return, 旦 = daybreak",,primitive
人,person,736,793,951,"rén: man, person, people, CL:個|个[gè],位[wèi]",,,人,,RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27 primitive
亼,meeting,,,,jí: variant of 集[jí],umbrella,⿱ (top-bottom),⿱𠆢一,𠆢 = umbrella,,primitive
什,what? / X,743,802,2968,"shí: ten (used in fractions, writing checks etc), assorted, miscellaneous | shén: what",person + needle,⿰ (left-right),⿰亻十,"人 = person, 针 = needle",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK3v2::CH06
仁,benevolence / humanity,761,820,988,"rén: humane, kernel",two + person,⿰ (left-right),⿰亻二,"二 = two, 人 = person",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
仇,animosity / foe,1991,2055,2114,"chóu: hatred, animosity, enmity, rival | qiú: spouse, companion",person + baseball,⿰ (left-right),⿰亻九,"人 = person, 九 = baseball",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK3v2::CH02
今,now,1186,1246,1587,"jīn: today, modern, present, current",meeting,⿱ (top-bottom),⿱⿵𠆢丶乛,亼 = meeting,RSH RTH RTK,RSH1::L40 RTH1::L40 RTK1v5::L41 primitive
介,introduce / jammed in,241,259,250,"jiè: to introduce, to lie between, between",umbrella + crutches,⿱ (top-bottom),⿱𠆢⿰丿丨,"𠆢 = umbrella, 囧介－𠆢 = crutches",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12
仍,still,751,809,,"réng: still, yet, to remain",person + fist,⿰ (left-right),⿰亻乃,"人 = person, 乃 = fist",RSH RTH,RSH1::L26 RTH1::L26
从,follow,,846,,"cóng: from, via, passing through, through (a gap) | cōng: lax, yielding, unhurried | zòng: second cousin",person,⿰ (left-right),⿰人人,人 = person,RSH,RSH1::L26 primitive
仑,lifeguard,,,,"lún: to arrange, Kunlun (Karakorum) mountain range in Xinjiang",someone sitting on the ground + umbrella,⿱ (top-bottom),⿱𠆢匕,"匕 = someone sitting on the ground, 𠆢 = umbrella",,primitive
仔,meticulous / animal offspring,2001,2067,2113,"zǎi: variant of 崽[zǎi] | zī: see 仔肩[zī jiān] | zǐ: meticulous, (of domestic animals or fowls) young",person + child,⿰ (left-right),⿰亻子,"人 = person, 子 = child",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK3v2::CH02
他,he / other,752,810,961,"tā: he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object)",person + scorpion,⿰ (left-right),⿰亻也,"人 = person, 也 = scorpion",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
仗,battle,2041,2103,,"zhàng: weaponry, to hold (a weapon), to wield, to rely on",person + 100 Chinese inches,⿰ (left-right),⿰亻丈,"人 = person, 丈 = 100 Chinese inches",RSH RTH,RSH2::L26 RTH2::L26
付,pay / adhere,766,825,1000,"fù: to pay, to hand over to",person + glue,⿰ (left-right),⿰亻寸,"人 = person, 粘 = glue",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
仙,immortal / hermit,2027,2092,986,xiān: immortal,person + mountain,⿰ (left-right),⿰亻山,"人 = person, 山 = mountain",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
代,substitute for,769,828,1005,"dài: to substitute, to act on behalf of others, to replace, generation",person + arrow,⿰ (left-right),⿰亻弋,"人 = person, 弋 = arrow",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
令,orders,1050,1115,1401,"Líng: see 令狐[Líng hú] | líng: see 脊令[jí líng], see 令狐[Líng hú] | lǐng: classifier for a ream of paper | lìng: to order, to command, an order, warrant",meeting + chop,⿱ (top-bottom),⿱⿵𠆢丶龴,"亼 = meeting, 囧节－艹 = chop",RSH RTH RTK,RSH1::L36 RTH1::L36 RTK1v5::L37
以,by means of,796,861,1028,"Yǐ: abbr. for Israel 以色列[Yǐ sè liè] | yǐ: to use, according to, so as to, by means of",person + plow + a drop of,,⿽人⿰𠄌丶,"人 = person, 囧以－丶人 = plow, 丶 = a drop of",RSH RTH RTK,RSH1::L27 RTH1::L27 RTK1v5::L28
仰,look up to / faceup,1255,1301,1701,"yǎng: to face upward, to look up, to admire, to rely on",person + stamp collection,⿰ (left-right),⿰亻卬,"人 = person, 卬 = stamp collection",RSH RTH RTK,RSH1::L43 RTH1::L43 RTK1v5::L44
仲,mid- / go-between,1994,2058,956,"zhòng: second month of a season, middle, intermediate, second amongst brothers",person + middle,⿰ (left-right),⿰亻中,"人 = person, 中 = middle",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
件,piece / affair,750,808,959,"jiàn: item, component, classifier for events, things, clothes etc",person + cow,⿰ (left-right),⿰亻牛,"人 = person, 牛 = cow",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
任,appoint / responsibility,793,853,1003,"rèn: to assign, to appoint, to take up a post, office",person + porter,⿰ (left-right),⿰亻壬,"人 = person, 壬 = porter",RSH RTH RTK,RSH1::L27 RTH1::L27 RTK1v5::L27
份,portion,738,796,,"fèn: classifier for gifts, newspaper, magazine, papers, reports, contracts etc, variant of 分[fèn]",person + part,⿰ (left-right),⿰亻分,"人 = person, 分 = part",RSH RTH,RSH1::L26 RTH1::L26
仿,mimic,2020,2086,,"fǎng: to imitate, to copy, seemingly",person + compass,⿰ (left-right),⿰亻方,"人 = person, 方 = compass",RSH RTH,RSH2::L26 RTH2::L26
企,look forward to / undertake,358,384,375,"qǐ: to plan a project, to stand on tiptoe, Taiwan pr. [qì], abbr. for 企業|企业[qǐ yè]",stop + umbrella,⿱ (top-bottom),⿱𠆢止,"止 = stop, 𠆢 = umbrella",RSH RTH RTK,RSH1::L17 RTH1::L17 RTK1v5::L17
伊,Queen Elizabeth / Italy,883,958,1161,"Yī: surname Yi, abbr. for 伊拉克[Yī lā kè], Iraq, abbr. for 伊朗[Yī lǎng], Iran | yī: he, she",person + overseer,⿰ (left-right),⿰亻尹,"人 = person, 尹 = overseer",RSH RTH RTK,RSH1::L30 RTH1::L30 RTK1v5::L31
伍,V,1990,2054,2967,"wǔ: squad of five soldiers, to associate with, five (banker's anti-fraud numeral)",person + five,⿰ (left-right),⿰亻五,"人 = person, 五 = five",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK3v2::CH06
伏,bend over / prostrated,2009,2075,962,"fú: to lean over, to fall (go down), to hide (in ambush), to conceal oneself",person + chihuahua,⿰ (left-right),⿰亻犬,"人 = person, 犬 = chihuahua",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
伐,fell,2012,2079,994,"fá: to cut down, to fell, to dispatch an expedition against, to attack",person + fiesta,⿰ (left-right),⿰亻戈,"人 = person, 戈 = fiesta",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
休,rest,753,812,965,"xiū: to rest, to stop doing sth for a period of time, to cease, (imperative) don't",person + tree,⿰ (left-right),⿰亻木,"人 = person, 木 = tree",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
伙,mate,2007,2072,,"huǒ: meals (abbr. for 伙食[huǒ shí]), variant of 夥|伙[huǒ], companion, partner",person + fire,⿰ (left-right),⿰亻火,"人 = person, 火 = fire",RSH RTH,RSH2::L26 RTH2::L26
伯,father's older brother / chief,1993,2057,967,"bó: father's elder brother, senior, paternal elder uncle, eldest of brothers | bà: variant of 霸 | bǎi: one hundred (old)",person + dove,⿰ (left-right),⿰亻白,"人 = person, 白 = dove",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
估,estimate,1995,2060,,"gū: estimate | gù: old, second-hand (clothes)",person + ancient,⿰ (left-right),⿰亻古,"人 = person, 古 = ancient",RSH RTH,RSH2::L26 RTH2::L26
伴,partner / consort,908,983,1203,"bàn: partner, companion, comrade, associate",person + half,⿰ (left-right),⿰亻半,"人 = person, 半 = half",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32
伶,actor / minstrel,2374,2441,2112,líng: clever,person + orders,⿰ (left-right),⿰亻令,"人 = person, 令 = orders",RSH RTH RTK,RSH2::L36 RTH2::L36 RTK3v2::CH02
伸,extend / expand,851,919,1118,"shēn: to stretch, to extend",person + monkey,⿰ (left-right),⿰亻申,"人 = person, 猴 = monkey",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
伺,attend to / pay respects,2757,2818,1864,"cì: to wait on | sì: to watch, to wait, to examine, to spy",person + take charge of,⿰ (left-right),⿰亻司,"人 = person, 司 = take charge of",RSH RTH RTK,RSH2::L49 RTH2::L49 RTK1v5::L50
似,similar,797,862,1029,"sì: to seem, to appear, to resemble, similar",person + by means of,⿰ (left-right),⿰亻以,"人 = person, 以 = by means of",RSH RTH RTK,RSH1::L27 RTH1::L27 RTK1v5::L28
但,however,747,805,953,"dàn: but, yet, however, only",person + daybreak,⿰ (left-right),⿰亻旦,"人 = person, 旦 = daybreak",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
佈,announce,2014,,,"bù: variant of 布[bù], to announce, to spread",dropdrop + walking stick + cloth,⿰ (left-right),⿰亻布,"㇒ = dropdrop, 丨 = walking stick, 布 = cloth",RTH,RTH2::L26
位,position / rank,749,807,955,"wèi: position, location, place, seat",person + vase,⿰ (left-right),⿰亻立,"人 = person, 立 = vase",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
低,low / lower,1332,1375,1831,"dī: low, beneath, to lower (one's head), to let droop",person + calling card,⿰ (left-right),⿰亻氐,"人 = person, 氐 = calling card",RSH RTH RTK,RSH1::L48 RTH1::L48 RTK1v5::L49
住,dwell,748,806,954,"zhù: to live, to dwell, to stay, to reside",person + candlestick,⿰ (left-right),⿰亻主,"人 = person, 主 = candlestick",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
